Data,Italia,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling
20/04/2024,,"95,53","97,17","96,74","97,17","68,90","97,17","97,17","97,17","96,74","97,17","68,90","96,74","97,17","96,74","97,17","97,17","0,00","0,00","96,74","97,17","96,74","97,17"
21/04/2024,,"91,38","91,32","91,41","91,41","90,34","91,41","91,41","91,32","91,41","91,32","90,34","91,41","91,32","91,41","91,32","91,32","0,00","0,00","91,41","91,41","91,41","91,32"
22/04/2024,,"108,44","108,92","108,92","108,92","78,92","108,92","108,92","108,92","108,92","108,92","78,92","108,92","108,92","108,92","108,92","108,92","0,00","0,00","108,92","108,92","108,92","108,92"
23/04/2024,,"106,16","108,04","103,48","108,04","75,71","108,04","103,48","108,04","103,48","108,04","75,71","103,48","108,04","103,48","108,04","108,04","0,00","0,00","103,48","103,48","103,48","108,04"
24/04/2024,,"106,33","106,99","106,32","106,99","86,77","106,99","106,32","106,99","106,32","106,99","86,77","106,32","106,99","106,32","106,99","106,99","0,00","0,00","106,32","106,32","106,32","106,99"
25/04/2024,,"95,66","95,96","95,96","95,96","81,61","95,96","95,96","95,96","95,96","95,96","81,61","95,96","95,96","95,96","95,96","95,96","0,00","0,00","95,96","95,96","95,96","95,96"
26/04/2024,,"100,68","100,76","100,84","100,84","100,84","100,84","100,84","100,76","100,84","100,76","100,84","100,84","100,76","100,84","100,76","100,76","0,00","0,00","100,84","100,84","100,84","100,76"
27/04/2024,,"94,92","94,23","97,77","97,77","94,23","97,77","97,77","94,23","97,77","94,23","94,23","97,77","94,23","97,77","94,23","94,23","0,00","0,00","97,77","97,77","97,77","94,23"
28/04/2024,,"81,43","82,47","82,18","82,18","69,76","82,18","82,18","82,47","82,18","82,47","69,76","82,18","82,47","82,18","82,47","82,47","0,00","0,00","82,18","82,18","82,18","82,47"
29/04/2024,,"83,52","84,06","84,06","84,06","76,68","84,06","84,06","84,06","84,06","84,06","76,68","84,06","84,06","84,06","84,06","84,06","0,00","0,00","84,06","84,06","84,06","84,06"
