Data,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling,Totale Italia
25/02/2024,"33.640,148","0,000","742,120","4.663,708","0,000","0,000","3.986,227","0,000","0,000","14.982,226","520,939","6.520,217","0,000","3.973,054","535,000","0,000","0,000","0,000","3,000","262,500","742,355","0,000","36.931,346"
26/02/2024,"39.057,304","0,000","671,207","2.203,409","0,000","0,000","4.036,644","0,000","0,000","26.751,328","617,030","4.328,623","0,000","4.971,155","1.415,000","124,400","0,000","0,000","0,000","555,000","81,513","0,000","45.755,309"
27/02/2024,"41.311,911","0,000","984,564","2.983,474","0,000","0,000","4.793,593","0,000","0,000","26.853,371","1.537,811","2.932,163","0,000","4.002,117","1.205,000","9,864","0,000","0,000","0,000","340,000","515,346","0,000","46.157,303"
28/02/2024,"43.846,124","0,000","1.030,072","2.683,184","0,000","0,000","9.059,644","0,000","0,000","18.824,978","2.158,261","4.818,394","0,000","5.567,578","1.195,000","169,860","0,000","0,000","55,000","192,500","11,792","0,000","45.766,263"
29/02/2024,"43.072,108","0,000","607,721","2.768,840","0,000","0,000","8.680,312","0,000","0,000","25.198,381","2.264,218","5.333,914","0,000","5.634,186","427,500","6,200","0,000","0,000","0,000","245,000","147,245","0,000","51.313,517"
01/03/2024,"40.574,141","0,000","898,944","3.523,617","0,000","0,000","7.700,976","0,000","0,000","22.248,123","1.468,865","4.600,794","0,000","4.966,022","525,000","0,000","0,000","0,000","85,000","377,500","0,000","0,000","46.394,841"
02/03/2024,"33.337,327","0,000","1.536,347","3.613,979","0,000","0,000","4.091,653","0,000","0,000","20.319,757","503,672","1.807,964","0,000","4.177,831","815,000","82,400","0,000","0,000","53,000","258,000","279,164","0,000","37.538,767"
03/03/2024,"27.865,441","0,000","488,898","2.507,717","0,000","0,000","2.787,240","0,000","0,000","15.977,661","355,661","4.936,850","0,000","2.368,874","255,000","3,400","0,000","0,000","0,000","26,000","54,320","0,000","29.761,621"
04/03/2024,"45.942,272","0,000","828,144","2.626,239","0,000","0,000","10.073,186","0,000","0,000","23.600,741","440,475","3.156,222","0,000","8.973,913","770,000","20,280","0,000","0,000","47,000","202,000","78,132","0,000","50.816,332"
05/03/2024,"44.945,049","0,000","1.427,355","2.646,983","0,000","0,000","8.558,306","0,000","0,000","25.136,041","1.414,307","5.432,887","0,000","6.963,602","665,000","1,700","0,000","0,000","32,120","307,000","0,000","0,000","52.585,301"
06/03/2024,"44.525,858","0,000","579,165","2.811,304","0,000","0,000","11.797,636","0,000","0,000","27.290,856","1.114,345","5.003,020","0,000","4.449,755","794,103","94,200","0,000","0,000","5,000","116,000","97,627","0,000","54.153,011"
07/03/2024,"40.017,176","0,000","2.255,564","3.011,481","0,000","0,000","6.397,026","0,000","0,000","22.983,616","1.396,281","3.062,486","0,000","6.539,232","731,500","18,300","0,000","0,000","156,000","302,321","29,166","0,000","46.882,973"
08/03/2024,"41.248,764","0,000","1.920,884","2.671,098","0,000","0,000","6.061,832","0,000","0,000","25.317,256","619,947","3.960,033","0,000","3.761,310","555,000","0,000","0,000","0,000","47,000","189,500","143,243","0,000","45.247,103"
09/03/2024,"35.362,547","0,000","1.032,516","2.751,757","0,000","0,000","6.392,648","0,000","0,000","20.853,514","3.266,491","2.687,846","0,000","4.925,436","366,673","0,000","0,000","0,000","49,000","162,000","8,560","0,000","42.496,441"
10/03/2024,"26.789,991","0,000","468,735","1.914,077","0,000","0,000","4.100,920","0,000","0,000","15.211,581","676,195","4.107,502","0,000","2.641,680","429,000","0,000","0,000","0,000","0,000","116,000","128,063","0,000","29.793,753"
